题型	编号	题干	选项A	选项B	选项C	选项D	正确答案
单选题	154	精神病人在不能辨认或者不能控制自己行为的时候违反治安管理的,不予处罚,但是应当责令其监护人严加看管和治疗｡间歇性的精神病人在()的时候违反治安管理的,应当给予处罚	精神正常的时候	有点正常的时候	基本能辨认自己的行为的时候	基本能控制自己的行为的时候	A
单选题	155	甲对乙称,如果乙不去殴打丙就杀害乙的妻儿｡乙无奈,将丙殴打成轻微伤,后被民警查获,对甲的行为公安机关应当()	批评教育	按殴打他人处罚	不予处罚	予以训诫	B
单选题	156	根据《治安管理处罚法》规定,可以减轻处罚的情形包括()	情节特别轻微的	初次违反治安管理的	由于他人教唆的	态度较好的	A
单选题	157	治安管理处罚由()决定,其中警告、一千元以下罚款可以由()决定	公安派出所;县级以上公安机关	县级以上公安机关;派出所或公安机关委托的乡镇人民政府	县级以上地方人民政府公安机关;公安派出所	县、市公安局、公安分局或者相当于县一级的公安机关;公安派出所	C
单选题	158	如果当事人对治安管理处罚决定不服,下列表述正确的是(),只能向人民法院提起行政诉讼,只能依法申请行政复议,必须先向上一级公安机关提出行政复议	不服行政复议决定的	才可以在法定期限内向当地人民法院提起行政诉讼	既可以依法申请复议	也可以直接向法院提起行政诉讼	D
单选题	159	根据《治安管理处罚法》的规定,对被决定给予行政拘留处罚的人的执行方式表述正确的有()	由被处罚人自行到拘留所接受处罚	由作出决定的公安机关将被处罚人送达拘留所执行	由作出决定的公安机关将被处罚人送交看守所执行	期限少于二日的可在候问室执行	B
单选题	160	人民警察询问被侵害人或者其他证人,()	可以到其所在单位或者住处进行	必须到其所在单位进行	应当到其单位或者住所进行	应当通知其到公安机关提供证言	A
单选题	161	下列情形中,不适用治安管理处罚的是(),甲醉酒后无故砸毁街道边的路灯(价值四百元)	乙因为纠纷把邻居家的房门损毁(价值五百元)	丙不顾他人的反对	经常给他人发送黄色短信	丁在家观看淫秽录像	D
单选题	162	严某因琐事被邻居包某殴打住院、一部手机被毁｡对于严某被毁的手机和医疗费用,公安机关做法正确的是(),进行调解,调解不成,依法裁决,属于双方私事,让其自己解决,公安机关不介入民事纠纷	让其通过法院解决	进行调解	调解不成	让其通过法院解决	D
单选题	163	2026年1月15日,外籍人士汤姆(Tom)在某酒吧内因琐事故意殴打他人,致轻微伤｡公安机关决定对其处以行政拘留十日,并附加适用()	罚金	限期出境	吊销许可证件	吊销护照	B
单选题	164	刘某因对公司领导谢某调整其工作岗位不满,在网上谩骂谢某及其家人,言语恶毒｡下列对刘某行为定性正确的是()	侮辱	诽谤	诬告陷害	扰乱公共秩序	A
单选题	165	民警询问梁某,其辩称种植罂粟是用来做菜吃,对治疗胃痛和拉肚子都很好,自己只种了很少一点自用,并未打算售卖,梁某的种植行为属于()	刑事犯罪	治安违法	民事违法	不构成违法犯罪	B
单选题	166	白某听说罂粟壳熬水喂食肉鸡可防其生病,遂在菜地种植罂栗400株,后得知种罂栗是违法犯罪行为,于是在成熟前自行全部铲除,关于对白某的处理,下列说法正确的是()	应当追究刑事责任	应当予以治安处罚	可以依法从轻处罚	应当依法不予处罚	D
单选题	167	下列属于寻衅滋事违法行为的是(),主播张某在直播时多次无故追逐、拦截街上穿着时尚的美女,残疾人王某在十字路口以敲打过往车辆车窗的方式进行乞讨	员工关某因对上司陆某安排的工作不满	在车间内对其多次辱骂	无业人员夏某以找人砸店威胁水果店主	向其索要二百元	A
单选题	168	以下不属于《治安管理处罚法》明确规定针对特定人员或组织可以责令其六个月至一年不得从事特定活动、会见特定人员或者前往特定场所的(),大型群众性活动球迷扰乱活动秩序的,大型群众性活动承办者承办活动有治安危险	经责令改正未改正的	滋扰、纠缠他人	干扰他人正常生活的	吸食、注射毒品的	C
单选题	169	口头传唤的时候,人民警察应当出示()	工作证件	执法证件	人民警察证	传唤证	C
单选题	170	以下关于《治安管理处罚法》说法正确的是(),人身检查,应当经过县以上公安机关负责人批准,提取生物样本,应当经过县以上公安机关负责人批准	提取生物样本	应当征得被侵害人同意	提取生物样本	应当征得违法嫌疑人同意	C
单选题	171	根据《治安管理处罚法》关于检查的规定,下列说法正确的有()	应当由两名以上民警进行检查	应当出示工作证和检查证	不得检查妇女的身体	不能当场检查	A
单选题	172	以下关于《治安管理处罚法》说法正确的是(),被处以行政拘留,应交付看守所执行,拘留期限届满,拘留决定机关发放解除拘留证明书,被决定给予行政拘留处罚的人	在异地被抓获	经过拘留决定机关批准	可以异地执行	行政拘留合并执行的期限最长20天	D
单选题	173	受到罚款处罚的当事人,应在收到处罚决定书之日起()缴纳罚款	五日	十日	十五日	三十日	C
单选题	174	治安管理处罚的种类不包括()	警告	罚款	行政拘留	拘役	D
单选题	175	根据《治安管理处罚法》的规定,下列可以收缴的为()	违法所得	违反治安管理所得的财物	赌具	直接用于实施违反治安管理行为的工具	C
单选题	176	根据《治安管理处罚法》的规定,下列可以收缴的为()	违法所得	违反治安管理所得的财物	赌资	直接用于实施违反治安管理行为的工具	C
单选题	177	不满十四周岁的人违反治安管理,不予处罚的案件,如有直接用于实施违反治安管理行为的本人所有的工具,()	应当追缴	不予追缴	应当收缴	不予收缴	C
单选题	178	根据《治安管理处罚法》的规定,下面的表述正确的是(),对违反治安管理所得财物,一律应当收缴	对不属于违反治安管理行为人所有的用于实施违法行为的工具	也应当收缴	对有关人体生理、医学知识的科学著作也应当作为淫秽物品进行收缴	对赌具、赌资应当收缴	D
单选题	179	《治安管理处罚法》规定,办理治安案件所查获的()用于实施违反治安管理行为的本人所有的工具,应当收缴,按照规定处理	直接	间接	所有	借用	A
单选题	180	因不足责任年龄违反治安管理,不予处罚的,如有违法所得的,()	应当追缴	不予追缴	应当收缴	不予收缴	A
单选题	181	根据《治安管理处罚法》及有关解释规定,违反治安管理行为超过追究时效,不再处罚,如有违禁品的,()	应当追缴	应当收缴	不予追缴	不予收缴	B
单选题	182	不满()周岁的人违反治安管理的,不予处罚,但是应当责令其监护人严加管教	十四	十六	十八	十	A
单选题	183	不满十四周岁的人违反治安管理的()	不予处罚	从轻处罚	减轻处罚	免予处罚	A
单选题	184	根据《治安管理处罚法》的规定,二人以上共同违反治安管理的,应该(),根据违反治安管理行为人在违反治安管理行为中所起的作用,分别处罚	对主犯从重处罚	对从犯从轻处罚	分别裁决	合并执行	A
单选题	185	对二人以上共同实施违反治安管理行为的责任,《治安管理处罚法》规定(),按照相同尺度予以处罚	根据违反治安管理行为人在违反治安管理行为中所起的作用	分别处罚	只追究策划、指挥、领导者的责任	一律从重处罚	B
单选题	186	共同违反治安管理的,根据违反治安管理行为人(),分别处罚	在违反治安管理行为中所起的作用	行为的情节严重性	造成的损害后果	主观心态	A
单选题	187	《治安管理处罚法》中“教唆”的方式()	只能采取明示的方式	只能采取暗示的方式	可以采取明示或暗示的方式	以上答案都不对	C
单选题	188	共同违反治安管理的,根据违反治安管理行为人(),分别处罚	年龄大小	在违反治安管理行为中所起的作用	是否亲自实施违反治安管理行为	在违反治安管理中所使用的手段	B
单选题	189	公安机关及其人民警察对治安案件的调查,应当依法进行｡严禁通过刑讯逼供等非法手段收集证据｡通过下列哪些手段收集的证据不得作为处罚的根据①威胁;②引诱;③欺骗;④感化｡()	①②③	①②④	①③④	②③④	A
单选题	190	在回避决定作出前,治安案件办案人员()停止案件调查	不应	应当	可以	暂时	A
单选题	191	在办理治安案件过程中,公安机关负责人的回避,由()决定	其所属的公安机关	其所属的公安机关的上一级公安机关	其所属的公安机关的同级人民政府	其所属的公安机关领导班子集体决定	B
单选题	192	公安机关负责人、办案人民警察在回避决定作出之前进行的与案件有关的活动()	有效	无效	由承办案件的公安机关审查后决定是否有效	由作出回避决定的公安机关根据案件情况决定是否有效	D
单选题	193	人民警察在办理治安案件过程中,下列不属于法定回避情形的是(),是本案当事人或者当事人的近亲属的	与本案当事人或者当事人的近亲属认识的	本人或者近亲属与本案有利害关系的	与本案当事人有其他关系	可能影响案件公正处理的	B
单选题	194	需要传唤违反治安管理行为人到公安机关接受调查的,经()批准,使用()传唤,派出所负责人,传票,公安机关办案部门负责人,传唤证	县级以上公安机关负责人	传票	上一级公安机关负责人	传唤证	B
单选题	195	对现场发现的违反治安管理行为人,人民警察经出示人民警察证,可以口头传唤,但应当()	报所属公安机关备案	向所属公安机关负责人报告	在传唤证上注明	在询问笔录中注明	D
单选题	196	根据《治安管理处罚法》的规定,下列关于传唤的说法中错误的是()	传唤证由办案部门负责人审批	口头传唤不必出示传唤证	口头传唤后应当补办传唤证	口头传唤应当在询问笔录中注明	C
单选题	197	对违反治安管理行为人进行传唤的,公安机关应当及时将传唤的原因和处所通知()	被传唤人所在单位或家属	被传唤人家属	被传唤人所在地的居(村)民委员会	被传唤人所在地的公安派出所或家属	B
单选题	198	对违反治安管理行为人,公安机关传唤后应当及时询问查证,询问查证时间最长不超过()	六小时	八小时	十二小时	二十四小时	D
单选题	199	下列关于询问查证说法错误的是(),对违反治安管理行为人,公安机关传唤后应当及时询问查证	询问查证的时间最长不超过三十六小时	一般情况下	公安机关询问查证的时间不超过八小时	公安机关应当及时将传唤的原因和处所通知被传唤人家属	B
单选题	200	根据《治安管理处罚法》的规定,人民警察询问被侵害人或者其他证人,正确的做法是(),应当到其所在单位或者住处进行	应当通知其到公安机关提供证言	可以在案件调查人员选定的地点进行或者到其所在单位、住处进行	可以在其所在单位、住处进行;必要时	也可以通知其到公安机关提供证言	D
单选题	201	人民警察询问(),可以到其所在单位或者住处进行;必要时,也可以通知其到公安机关提供证言	违反治安管理的行为人	违法嫌疑人	不满十六周岁的违反治安管理行为人	被侵害人或者其他证人	D
单选题	202	在公安机关调查取证过程中对拒不提供证据的知情人或其他证人,(),采取强制措施	进行传唤	给予治安管理处罚	积极说服、教育	使其配合公安机关调查取证	D
单选题	203	询问不通晓当地通用的语言文字的违反治安管理行为人、被侵害人或者证人,应当配备()	翻译工具	通晓手语的人	翻译人员	通晓被询问人语言文字的民警	C
单选题	204	下列关于检查说法正确的是(),公安机关有权检查与违反治安管理行为有关的人身和物品,对公民的住所无权检查,实施检查的人民警察不得少于二人	但紧急情况也可以由一名人民警察实施检查	检查的情况应当制作检查笔录	被检查人拒绝在检查笔录上签名的	人民警察可以代其签名	C
单选题	205	检查的情况应当制作笔录,由()签名或者盖章	检查人、被检查人和见证人	检查人和被检查人	检查人和见证人	检查人、被检查人或者见证人	A
单选题	206	对扣押的物品,应当会同在场的见证人和被扣押物品持有人查点清楚,当场开列清单一式二份,一份交给持有人,另一份()	交给见证人	由办案民警保存	附卷备查	交公安机关档案部门保管	C
单选题	207	为了查明案情,需要解决案件中有争议的专门性问题的,应当()	指派或者聘请具有专门知识的人员进行鉴定	由办案部门组织本部门人员进行集体鉴定	由办案部门负责人进行鉴定	由法制部门进行鉴定	A
单选题	208	违法行为人被决定行政拘留,下列哪些情形应当在行政拘留期限内予以折抵()	因同一行为被传唤的时间	因同一行为被刑事拘留的时间	因同一行为被继续盘问的时间	因同一行为被取保候审的时间	B
单选题	209	公安机关作出治安管理处罚决定前,应当告知违反治安管理行为人(),并告知违反治安管理行为人依法享有的权利	作出治安管理处罚的内容及事实、理由及依据	作出治安管理处罚的具体法律依据	作出治安管理处罚的事实和理由	作出治安管理处罚的理由	A
单选题	210	根据《治安管理处罚法》的规定,下列说法错误的是(),公安机关对违反治安管理行为人提出的事实、理由和证据,应当进行复核,公安机关不得因违反治安管理行为人的陈述、申辩而加重处罚	违反治安管理行为人提出的事实成立的	公安机关应当采纳	有时间有条件的	公安机关可以适当听取违反治安管理行为人的意见	D
单选题	211	治安案件调查结束后,公安机关对(),作出不予处罚的决定,依法不予处罚的,或者违法事实不能成立的	违法行为已涉嫌犯罪的	发现违反治安管理行为人有其他违法行为的	确有违反治安管理的行为	但不满十六周岁的	A
单选题	212	治安案件调查结束后,违法行为已涉嫌犯罪的,公安机关应当()	依法不予治安管理处罚	作出治安管理处罚的决定	通知有关主管部门处理	移送主管机关依法追究刑事责任	D
单选题	213	公安机关作出治安管理处罚决定的，应当制作治安管理处罚决定书。决定书除应当载明法定内容外还应当加盖()	案件调查人员印章	作出处罚决定的公安机关负责人印章	办案部门负责人印章	作出处罚决定的公安机关印章	D
单选题	214	某市公安局某区分局一派出所办理一起其处罚权限内的治安案件，由于案情复杂，无法在30日内结案，派出所欲延长办案期限，应当经()批准	市公安局	区公安分局	市公安局法制科	区人民检察院	B
单选题	215	因违反治安管理行为人逃跑等客观原因造成案件不能在法定期限内办结的，公安机关应当()	继续进行调查取证	不再进行调查取证	暂停进行调查取证	中止调查取证	A
单选题	216	被处罚人对治安管理处罚决定不服的，可以依法()	申请行政裁决	申请行政复议或者提起行政诉讼	申请行政仲裁	申请行政仲裁或提起行政诉讼	B
单选题	217	根据《治安管理处罚法》的规定，下列表述错误的是()	被处罚人和被侵害人都有权申请行政复议，但被侵害人无权提起行政诉讼	被处罚人申请行政复议的，被侵害人可以作为复议案件的第三人	被处罚人有权在行政复议和行政诉讼之间自由选择	被处罚人提起行政诉讼应当符合法律的规定	A
单选题	218	公安机关的哪些行为不属于行政复议范围()	警告	治安调解	行政拘留	吊销公安机关发放的许可证件	B
单选题	219	受到罚款处罚的人应当自收到处罚决定书之日起十五日内，到()缴纳罚款	作出治安管理处罚决定的公安机关指定的银行	作出治安管理处罚决定的公安机关的同级人民政府	作出治安管理处罚决定的公安机关的同级人民政府的财务部门		B
单选题	220	根据《治安管理处罚法》的规定，下列关于罚款的执行原则表述正确的是()	罚款的执行由公安机关实施	被处五十元罚款，人民警察应当当场收缴	在交通不便地区应当实行当场收缴	受到罚款处罚的人应当自收到处罚决定书之日起十五日内到指定的银行缴纳罚款	D
单选题	221	根据《治安管理处罚法》的规定，下列属于应当收缴的选项是()	赌博行为人在实施赌博行为的过程中偶然使用的交通工具、通讯工具	违反治安管理行为人借来的工具	违反治安管理行为人偷来的工具	注射毒品的用具	D
单选题	222	《治安管理处罚法》对一人实施数种违反治安管理行为追究责任遵循的是()	分别决定，合并执行	择一原则	限制加重原则	吸收原则	A
单选题	223	根据《治安管理处罚法》的规定，下面说法正确的是()	醉酒的人在醉酒状态中，对本人有危险或者对他人的安全有威胁的，应当将其拘留到酒醒	公安派出所可以决定警告、罚款	对数种违反治安管理行为进行并罚时，执行拘留期限也不可以超过十五日	实施了违反治安管理行为，主动消除或减轻违法后果并取得被侵害人谅解的，从轻、减轻处罚或者不予处罚	D
单选题	224	根据治安管理处罚法的规定，下列应当收缴的为()	违法所得	违反治安管理所得的财物	直接用于殴打他人的本人所有的工具	直接用于实施违反治安管理行为的工具	C
单选题	225	根据治安管理处罚法的规定，下列物品中，公安机关应当追缴的是()	管制刀具	违反治安管理所得的财物	毒品	用于实施违反治安管理行为的他人的工具	B
单选题	226	根据《治安管理处罚法》的规定，公安机关办理治安案件时，可以对()予以追缴	吸毒用具	盗窃时用于撬门的工具	卖淫的收入	用于实施违反治安管理行为的他人的工具	C
单选题	227	受到罚款处罚的人应当自收到处罚决定书之日起十五日内，到()缴纳罚款	作出治安管理处罚决定的公安机关指定的银行	作出治安管理处罚决定的公安机关的同级人民政府	作出治安管理处罚决定的公安机关的同级人民政府的财务部门		B
单选题	228	根据《治安管理处罚法》的规定，下列关于罚款的执行原则表述正确的是()	罚款的执行由公安机关实施	被处五十元罚款，人民警察应当当场收缴	在交通不便地区应当实行当场收缴	受到罚款处罚的人应当自收到处罚决定书之日起十五日内到指定的银行缴纳罚款	D
单选题	229	根据《治安管理处罚法》的规定，下列属于应当收缴的选项是()	赌博行为人在实施赌博行为的过程中偶然使用的交通工具、通讯工具	违反治安管理行为人借来的工具	违反治安管理行为人偷来的工具	注射毒品的用具	D
单选题	230	《治安管理处罚法》对一人实施数种违反治安管理行为追究责任遵循的是()	分别决定，合并执行	择一原则	限制加重原则	吸收原则	A
单选题	231	根据《治安管理处罚法》的规定，下面说法正确的是()	实施了违反治安管理行为，主动消除或减轻违法后果并取得被侵害人谅解的，从轻、减轻处罚或者不予处罚	醉酒的人在醉酒状态中，对本人有危险或者对他人的安全有威胁的，应当将其拘留到酒醒	对数种违反治安管理行为进行并罚时，执行拘留期限也不可以超过十五日	公安派出所可以决定警告、罚款	D
单选题	232	根据治安管理处罚法的规定，下列应当收缴的为()	违法所得	违反治安管理所得的财物	直接用于实施违反治安管理行为的工具	直接用于殴打他人的本人所有的工具	C
单选题	233	根据治安管理处罚法的规定，下列物品中，公安机关应当追缴的是()	管制刀具	违反治安管理所得的财物	毒品	用于实施违反治安管理行为的他人的工具	B
单选题	234	根据《治安管理处罚法》的规定，公安机关办理治安案件时，可以对()予以追缴	吸毒用具	盗窃时用于撬门的工具	卖淫的收入	用于实施违反治安管理行为的他人的工具	C
多选题	1	齐某因其子在幼儿园被同学小张(5岁)打伤头部，齐某及其妻到张家理论。交涉过程中齐某忽然爆发，一巴掌将小张打翻在地。小张爷爷张某(72岁)见状气愤不已，拿塑料凳将齐某打伤。后张某报警，经鉴定，双方均为轻微伤。关于双方行为的定性以下说法正确的有()	齐某的行为构成殴打他人违法行为	齐某的行为构成非法侵入住宅违法行为	张某构成殴打他人违法行为	齐某进入张某家中率先动手打人，张某的行为属于正当防卫	AC
多选题	2	赵某多次诱骗17岁的少女李某表演“脱衣舞”牟利，李某的行为如构成违法，可以如何处理()	免除处罚	不予处罚	处十日以上十五日以下拘留，并处五百元以上一千元以下罚款	减轻处罚	BD
多选题	3	以下关于《治安管理处罚法》说法正确的是()	公安机关实施调查取证工作时，不得少于两名民警	进行询问、扣押、辨认活动，则可以由一名民警进行	进行调解的，可以由一名民警进行	一名民警进行询问、扣押、辨认、调解的，可以全程同步录音录像	AC
多选题	4	以下关于《治安管理处罚法》说法正确的是()	派出所的处罚权限为警告与五百元以下罚款	前期的强制传唤期限可以折抵后期的拘留期限	“零口供”可以定案	只有“口供”不可以定案	CD
多选题	5	根据《治安管理处罚法》，以下程序应当全程录音录像的有()	由一名人民警察在执法办案场所履行询问、扣押、辨认等调查程序	由一名人民警察当场作出处罚决定	视频系统远程询问的询问与宣告过程	无检查证，确有必要立即检查的，经出示人民警察证，当场检查	ABCD
多选题	6	以下可以申请行政拘留暂缓执行的是()	被处罚人不服行政拘留处罚决定，申请行政复议、提起行政诉讼的	遇有参加升学考试	遇有子女出生或者近亲属病危、死亡	遇有重大自然灾害	ABC
多选题	7	以下关于行政拘留暂缓执行说法错误的是()	申请行政拘留暂缓执行应当提供担保人和保证金	行政拘留暂缓执行的保证金由公安机关根据案件性质综合判定	行政拘留暂缓执行的保证人应当在当地有固定户口与稳定收入	担保人应当保证被担保人不逃避行政拘留处罚的执行	ABC
多选题	8	公安机关收取的保证金应当退还的情形有()	暂缓行政拘留或者出所后，逃避行政拘留处罚执行	行政拘留的处罚决定被撤销	行政拘留处罚开始执行	出所后继续执行的	BCD
多选题	9	《治安管理处罚法》新增的扰乱公共秩序行为包括()	组织、领导传销活动	侮辱英雄烈士姓名、肖像	考试作弊	高空抛物	ABC
多选题	10	可以暂缓执行行政拘留的情形有()	参加升学考试	子女出生	近亲属病危或死亡	本人患有严重疾病	ABC
多选题	11	娱乐场所经营者的法定义务有()	信息登记	安全防范	禁止组织有偿陪侍	配合执法检查	ABCD
多选题	12	《治安管理处罚法》中加强执法监督的规定包括()	执法全程录音录像	规范“一人执法”	完善法制审核	明确执法证件要求	ABCD
多选题	13	当事人对治安管理处罚决定不服的，《治安管理处罚法》规定的救济途径包括()	申请行政复议	直接提起行政诉讼	向作出处罚决定的公安机关申诉	向上一级公安机关申请复核	AB
多选题	14	《治安管理处罚法》规定，可以减轻或者不予处罚的情形有()	取得被侵害人谅解	出于他人胁迫或者诱骗实施违法行为	主动投案，向公安机关如实陈述自己的违法行为	有立功表现	ABCD
多选题	15	违反治安管理有下列情形之一的，从轻、减轻或者不予处罚()	情节轻微的	主动消除或者减轻违法后果的	取得被侵害人谅解的	出于他人胁迫或者诱骗的	ABCD
多选题	16	下列哪些行为属于《治安管理处罚法》新增的应当给予治安处罚的情形()	赵某在网络平台编造“学校食堂致学生集体中毒”的虚假信息，引发家长恐慌	钱某未对饲养的烈性犬采取安全措施，导致犬只咬伤路人	孙某从10楼抛掷生活垃圾，未造成人员伤亡但危害公共安全	李某未经申报在机场净空区操控无人机飞行	ABCD
多选题	17	张某存在以下行为，根据《治安管理处罚法》应当从重处罚的有()	教唆十四岁的王某在商场内盗窃他人财物	因邻居举报其高空抛物，对举报人进行辱骂报复	在重大庆典活动期间，在现场散布虚假险情信息	传播涉及未成年人的淫秽视频	ABD
多选题	18	派出所可以自行作出的行政处罚种类有()	警告	一千元以下罚款	行政拘留	吊销公安机关发放的许可证件	AB
多选题	19	《治安管理处罚法》关于办理治安案件的原则包括()	以事实为依据，过罚相当	公开、公正，尊重和保障人权	坚持教育与处罚相结合	效率优先，简化程序	ABC
多选题	20	孙某(17岁)和同学李某(15岁)共同盗窃了一辆自行车。关于此案的处理，下列说法符合《治安管理处罚法》规定的有()	对孙某应当从轻或减轻处罚	对李某应当不予处罚，但应责令其监护人严加管教	若对孙某处以行政拘留，必须执行	对二人应根据在行为中所起的作用分别处罚	AD
多选题	21	公安机关对违反治安管理的行为进行处罚，应当遵循的原则是()	以事实为依据，与违反治安管理行为的性质、情节以及社会危害程度相当原则	公正、公开原则	尊重和保障人权，保护公民的人格尊严原则	教育与处罚相结合原则	ABCD
多选题	22	对于因民间纠纷引起的下列哪些违反治安管理行为，情节较轻的，公安机关可以调解处理()	侮辱	制造噪声干扰他人	故意损毁他人财物	诬告陷害	ABCD
多选题	23	对于因民间纠纷引起的下列哪些违反治安管理行为，情节较轻的，公安机关可以调解处理()	故意伤害	侮辱	故意损毁他人财物	偷开他人机动车	ABCD
多选题	24	违反治安管理从重处罚的情形包括()	有较严重后果的	教唆、胁迫、诱骗他人违反治安管理的	对报案人、控告人、举报人、证人打击报复的	一年内曾受过治安管理处罚的	ABCD
多选题	25	对违反治安管理的行为人，询问查证的时间可以延长到二十四小时必须同时具备的条件是()	情况复杂	依照《治安管理处罚法》的规定，可能适用行政拘留处罚的	经上一级公安机关批准	违反治安管理行为人最终被处以行政拘留处罚的	AB
多选题	26	治安管理处罚由县级以上人民政府公安机关决定，其中()可以由公安派出所决定	警告	吊销公安机关颁发的许可证件	五百元以下的罚款	一千元以下的罚款	AD
多选题	27	公安派出所可以做出下列()治安管理处罚决定	警告	行政拘留	五百元以下罚款	一千元以下罚款	ACD
多选题	28	根据《治安管理处罚法》的规定，违反治安管理行为事实清楚，证据确凿，处()的，可以适用当场处罚	五百元以下罚款	二百元以下罚款	警告	吊销许可证件	ABC
多选题	29	下列关于行政拘留暂缓执行说法错误的有()	被处罚人不服行政拘留处罚决定，在拘留执行前可以申请行政复议	被处罚人的近亲属可以提出符合法律规定条件的担保人	被处罚人应当按每日行政拘留五百元的标准交纳保证金	被处罚人应当向复议机关提出暂缓执行的申请	CD
多选题	30	根据《治安管理处罚法》的规定，担保人应当符合的条件有()	与本案无牵连	享有政治权利，人身自由未受到限制	在当地有常住户口和固定住所	有能力履行担保义务	ABCD
多选题	31	担保人不履行担保义务，受到公安机关处罚的，担保人依法可以()	申请行政复议	申请不予执行	申请暂缓执行	提起行政诉讼	AD
多选题	32	被决定给予行政拘留处罚的人交纳保证金，暂缓行政拘留后，逃避行政拘留处罚执行的，()	保证金予以收缴	保证金予以没收并上缴国库	已经作出的行政拘留决定仍应执行	已经作出的行政拘留决定不再执行	BC
多选题	33	行为人已经着手实施违反治安管理行为，但由于本人意志以外的原因而未得逞的，公安机关可()	从轻处罚	减轻处罚	不予处罚	从重处罚	ABC
多选题	34	检查妇女的身体，应当由()进行	人民警察	侦查人员	女性工作人员	医师	CD
多选题	35	被处罚人对治安管理处罚决定不服的，可以依法()	要求听证	先申请行政复议，对行政复议不服再提起行政诉讼	申请行政复议或者提起行政诉讼	申请暂缓执行	BC
多选题	36	《治安管理处罚法》适用于下列具有社会危害性，但尚不够刑事处罚的行为()	扰乱公共秩序的行为	妨害公共安全的行为	侵犯人身权利和财产权利的行为	妨害社会管理的行为	ABCD
多选题	37	证人保护措施包括()	不公开证人个人信息	禁止对证人滋扰、威胁	为证人提供安全保护	对违反保护措施的行为予以处罚	ABCD
多选题	38	以下属于侵犯财产权利的行为有()	盗窃	诈骗	哄抢	抢夺	ABCD
多选题	39	可以询问证人的地点是()	现场	证人的住所	证人提出的地点	公安机关	ABCD
多选题	40	需要在检查笔录上签名的人员有()	检查人	被检查人	见证人	被检查人的近亲属	ABC
多选题	41	调解处理治安案件，应当查明事实，并遵循()的原则，注重教育和疏导，促进化解矛盾纠纷	合法	公正	自愿	及时	ABCD
多选题	42	治安管理处罚的种类有()	警告	罚款	行政拘留	吊销公安机关发放的许可证件	ABCD
多选题	43	治安管理处罚的基本原则包括()	公开公正原则	教育与处罚相结合原则	处罚与违法行为相当原则	尊重和保障人权原则	ABCD
多选题	44	下列人员一律不执行行政拘留处罚的有()	怀孕妇女	七十周岁以上老人	哺乳未满一周岁婴儿的妇女	已满十四周岁不满十六周岁的未成年人	AC
多选题	45	下列属于妨碍社会管理的违反治安管理行为的有()	阻碍人民警察依法执行职务	在文物古迹上刻划	吸毒	非法携带管制器具	ABC
多选题	46	下列关于行政拘留的说法正确的有()	最长期限不超过十日	合并执行不超过二十日	属于限制人身自由的处罚	由公安机关执行	BCD
多选题	47	以下哪些属于《治安管理处罚法》规定的治安管理处罚()	罚款	拘留	吊销许可证件	拘役	ABC
多选题	48	公安机关可以采取的执法措施有()	人身检查	采集人体生物样本	扣押涉案物品	强制传唤	ABCD
多选题	49	下列哪些行为属于寻衅滋事的违反治安管理行为()	结伙斗殴	追逐、拦截他人	强拿硬要公私财物	任意损毁、占用公私财物	ABCD
多选题	50	有下列哪些情形之一的，不适用调解处理()	雇凶伤害他人	结伙斗殴或者其他寻衅滋事	多次实施违反治安管理行为	当事人明确表示不愿意调解处理	ABCD
多选题	51	《治安管理处罚法》规定的处罚种类有()	警告	罚款	行政拘留	吊销公安机关发放的许可证件	ABCD
多选题	52	公安机关在办理行政案件中查获的下列物品应当依法予以收缴()	毒品、淫秽物品等违禁品	倒卖的有价票证	吸食、注射毒品的用具	伪造、变造的公文、证件、证明文件、票证、印章	ABCD
多选题	53	根据《治安管理处罚法》的规定，公安机关办理治安案件时，可以对()财物予以收缴	偶尔用于接送赌博行为人的汽车	卖淫的收入	赌具	赌资	CD
多选题	54	下列属于应当追缴的选项是()	盗窃怀孕的母羊，该母羊所生的小羊	卖淫的收入	将盗窃的货币存入银行所产生的利息	淫秽物品	ABC
多选题	55	根据《治安管理处罚法》的规定，对已满十四周岁不满十八周岁的人违反治安管理的，应当()处罚	从轻	减轻	免予	不予	AB
多选题	56	盲人或者又聋又哑的人违反治安管理的，应当如何处罚()	应当从轻处罚	应当减轻处罚	可以从轻处罚或者减轻处罚	可以不予处罚	CD
多选题	57	根据《治安管理处罚法》规定，()违反治安管理的，可以从轻、减轻或者不予处罚	盲人	又聋又哑的人	肢体残疾的人	不满十六岁的人	AB
多选题	58	醉酒的人在醉酒状态中，有哪些情形的应当对其采取保护性措施约束至酒醒()	对本人有危险	对他人的人身、财产有威胁	对公共安全有威胁	呕吐物影响市容	ABC
多选题	59	根据《治安管理处罚法》的规定，对一人有两种以上违反治安管理行为的，应该()	分别决定、合并执行	合并决定、分别执行	合并决定、合并执行	行政拘留处罚合并执行的，最长不超过二十日	AD
多选题	60	根据《治安管理处罚法》的规定，单位违反治安管理的，依照《治安管理处罚法》处罚的是()	直接负责的主管人员	其他直接责任人员	单位	单位法定代表人	AB
多选题	61	对单位违反治安管理，其他()对同一行为规定给予单位处罚的，依照其规定处罚	法律	行政法规	地方性法规	规章	AB
多选题	62	根据《治安管理处罚法》的规定，对()进行打击报复的，应当从重处罚	报案人	控告人	举报人	证人	ABCD
